standar,term_localName,label,definition,usage,notes,type,controlled value string,tdwgutility_organizedInClass,SKOS_inSchema,tdwgutility_repeatable,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri
plic: terms,temporalCoverage,Temporal Coverage,"This field specifies temporal coverage of the distribution, and allows coverages to be a single point in time, multiple points in time, or a range of dates.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,"geographicEntity
",Geographic Entity,"
Name of the geographic entity. A controlled vocabulary --as specified in the Catalogue element-- is recommended.
",,"
e.g. Spain; Aguascalientas; Alabama; Ambon
",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,DistributionType,Distribution Type,"Information about the distribution of the species based on the studied specimens collection sites data.

",,,"http://www.w3.org/2000/01/rdf-schema#Class
",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,GeographicEntity,Geographic Entity,Name of the geographic entity. ,,"A controlled vocabulary --as specified in the Catalogue element-- is recommended.
e.g. Spain; Aguascalientas; Alabama; Ambon","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,country,Country,"The name of the country or major administrative unit in which the Location occurs.
",,"It is recommended to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.
","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property

",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,stateProvince,State Province ,"The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.",,,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property

",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,county,County,"The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the Location occurs.",,,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property

",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,municipality,Municipality ,"The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location.
",,,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property

",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,locality,Locality,"The specific description of the place. Less specific geographic information can be provided in other geographic terms (higherGeography, continent, country, stateProvince, county, municipality, waterBody, island, islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description.
",,,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property

",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,endemicAtomized,Atomized Endemic,List of areas structured and categorized by territories in which the endemic species appears (EndemicTo) in relation to a wider area (EndemicIn) given as geographical context.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
