term_localName,label,definition,usage,notes,type,tdwgutility_organizedInClass,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri
lifeForm,life form,"General appearance. Characteristic mode of growth or occurrence associated to its environment, particularly for plants. Comprising its size, shape, texture and orientation.",,"Example: tree, shrubs, herbs.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
lifeCycleAtomized,atomized life cycle,lifeCycle element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,lifeCycle,,,,
lifeCycleUnstructured,unstructured life cycle,lifeCycle element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
lifeFormAtomized,atomized life form,lifeCycleForm element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
lifeFormUnstructured,unstructured life form,lifeCycleForm element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
legislation,legislation,A national proposed law or group of laws. A regional proposed law or group of laws.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
legislationUnstructured,unstructured legislation,legislation element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
LegislationType,,,,,,Legislation  |  DemographyAndThreat,,,,
LegislationName,,,,,,Legislation  |  DemographyAndThreat,,,,
ProtectionLegalStatus,,,,,,Legislation  |  DemographyAndThreat,,,,
LegislationRead,,,,,,Legislation  |  DemographyAndThreat,,,,
Status,,,,,,Legislation  |  DemographyAndThreat,,,,
Type,,,,,,Legislation  |  DemographyAndThreat,,,,
Norm,,,,,,Legislation  |  DemographyAndThreat,,,,
AppliesTo,,,,,,Legislation  |  DemographyAndThreat,,,,
managementAndConservation,management andconservation,Management: actions directed at conserving or restoring species / Conservation: interventions undertaken designed to preserve species.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
